公司名称,职位名称,工作年限,教育程度,城市,薪资,福利,经度,纬度,公司规模,融资,地铁线
优维科技（深圳）有限公司,Python开发工程师—上海,1-3年,本科,上海,10k-20k,"带薪年假,年度旅游,五险一金",121.532758,31.214791,50-150人,B轮,2号线_上海科技馆;4号线_浦电路(4号线);4号线_蓝村路;4号线_塘桥;6号线_蓝村路;6号线_浦电路(6号线)
上海数旦信息技术有限公司,Python开发高级工程师,3-5年,本科,上海,15k-30k,"年终奖金,五险一金,股票期权,员工旅游",121.431047,31.160792,15-50人,A轮,1号线_上海南站;1号线_漕宝路;3号线_石龙路;3号线_上海南站;12号线_桂林公园;12号线_漕宝路
达而观信息科技（上海）有限公司,高级python开发工程师,3-5年,本科,上海,18k-25k,AI准独角兽 技术氛围浓 优秀伙伴,121.60245,31.199732,150-500人,B轮,2号线_金科路;2号线_张江高科
上海众言网络科技有限公司,python高级开发工程师,3-5年,本科,上海,20k-30k,双休，每年多次调薪，平台大，弹性时间,121.42788,31.19456,150-500人,B轮,1号线_徐家汇;3号线_虹桥路;3号线_宜山路;4号线_虹桥路;9号线_徐家汇;9号线_宜山路;10号线_交通大学;10号线_虹桥路;10号线_交通大学;10号线_虹桥路;11号线_交通大学;11号线_徐家汇;11号线_徐家汇;11号线_交通大学
上海辰沅金融信息服务有限公司,Python工程师,1-3年,本科,上海,13k-26k,"公司环境好,牛人聚集地,扁平化管理,晋升空间大",121.534034,31.217086,15-50人,A轮,2号线_上海科技馆;2号线_世纪大道;4号线_世纪大道;4号线_浦电路(4号线);4号线_蓝村路;6号线_蓝村路;6号线_浦电路(6号线);6号线_世纪大道;9号线_世纪大道
上海炫体信息科技有限公司,Python（年轻人的狂欢）,1-3年,本科,上海,12k-20k,轻松办公环境、无限零食、桌球、乒乓球,121.50743,31.251355,50-150人,不需要融资,4号线_临平路;4号线_大连路;4号线_杨树浦路;12号线_国际客运中心;12号线_提篮桥;12号线_大连路
上海海万信息科技股份有限公司,python工程师,1-3年,大专,上海,8k-15k,"年终奖,过节费,旅游,体检",121.531974,31.224473,500-2000人,不需要融资,2号线_上海科技馆;2号线_世纪大道;4号线_世纪大道;4号线_浦电路(4号线);4号线_蓝村路;6号线_蓝村路;6号线_浦电路(6号线);6号线_世纪大道;6号线_源深体育中心;9号线_世纪大道
上海多赋信息科技有限公司,Python,3-5年,大专,上海,10k-17k,五险一金,121.533756,31.271693,50-150人,不需要融资,8号线_黄兴路;12号线_江浦公园;12号线_宁国路;12号线_隆昌路
通联数据股份公司,Python开发工程师SH,1-3年,本科,上海,15k-25k,"技术氛围浓,办公环境好,团队氛围佳",121.486394,31.248034,150-500人,不需要融资,2号线_南京东路;3号线_东宝兴路;3号线_宝山路;4号线_宝山路;4号线_海伦路;10号线_海伦路;10号线_四川北路;10号线_天潼路;10号线_南京东路;10号线_海伦路;10号线_四川北路;10号线_天潼路;10号线_南京东路;12号线_天潼路;12号线_国际客运中心
上海牛咖信息科技有限公司,python高级开发工程师,1-3年,本科,上海,15k-30k,"技术大牛,弹性工作,领导耐撕,奖金丰厚",121.390442,31.235719,50-150人,A轮,13号线_真北路;13号线_大渡河路
行吟信息科技（上海）有限公司,Python开发工程师,1-3年,本科,上海,20k-40k,"六险一金,年底多薪,租房补贴,发展空间大",121.474421,31.215876,500-2000人,D轮及以上,1号线_陕西南路;1号线_黄陂南路;8号线_陆家浜路;8号线_老西门;8号线_大世界;9号线_陆家浜路;9号线_马当路;9号线_打浦桥;10号线_老西门;10号线_新天地;10号线_陕西南路;10号线_老西门;10号线_新天地;10号线_陕西南路;12号线_陕西南路;13号线_淮海中路;13号线_新天地;13号线_马当路
上海易路软件有限公司,Python高级开发工程师,3-5年,本科,上海,18k-28k,五险一金，加班费，C轮创业，期权激励,121.386397,31.16901,150-500人,B轮,9号线_漕河泾开发区;9号线_合川路;12号线_虹梅路
上海诺诺镑客金融信息服务有限公司,Python高级工程师,5-10年,本科,上海,20k-35k,"交通便利,领导好,水果提供,餐补",121.519043,31.208744,500-2000人,A轮,4号线_蓝村路;4号线_塘桥;6号线_上海儿童医学中心;6号线_蓝村路
搜股（上海）科技有限公司,高级python开发工程师,3-5年,本科,上海,15k-20k,"五险一金,互联网科技,双休",121.438449,31.290987,50-150人,A轮,1号线_汶水路
南京硅基智能科技有限公司,高级python开发工程师,3-5年,本科,上海,20k-35k,节假日福利、绩效奖金、双休、免费午餐,121.5083,31.238449,150-500人,B轮,2号线_东昌路;2号线_陆家嘴;4号线_浦东大道;9号线_商城路
上海谋卓网络科技有限公司,Python高级开发工程师,3-5年,不限,上海,20k-30k,"薪资待遇好,项目稳定,回报优良",121.513713,31.300912,少于15人,不需要融资,10号线_三门路;10号线_江湾体育场;10号线_五角场;10号线_国权路;10号线_三门路;10号线_江湾体育场;10号线_五角场;10号线_国权路
上海寻梦信息技术有限公司,高级Python开发工程师,1-3年,本科,上海,20k-40k,"福利好,大牛多,成长快",121.402636,31.208967,2000人以上,上市公司,2号线_娄山关路;3号线_延安西路;4号线_延安西路;10号线_伊犁路;10号线_水城路;10号线_伊犁路;10号线_水城路
北京小度互娱科技有限公司,Python开发工程师,1-3年,本科,北京,15k-25k,"团队优秀,福利优厚",116.283797,40.044435,150-500人,B轮,
北京瀚海星云科技有限公司,python开发工程师,3-5年,本科,北京,15k-30k,AI领域 前沿技术 专家指导 培训分享,116.296568,40.052451,15-50人,天使轮,13号线_西二旗;昌平线_西二旗
贝壳找房（北京）科技有限公司,Python开发工程师,5-10年,本科,北京,30k-60k,"15薪,13天年假,免费三餐,逢假必过",116.305611,40.04018,2000人以上,D轮及以上,13号线_上地;13号线_西二旗;昌平线_西二旗
北京车之家信息技术有限公司,python工程师,3-5年,本科,北京,15k-25k,"平台好,发展空间大",116.311779,39.979489,2000人以上,上市公司,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄;10号线_知春里
联想（北京）有限公司,高级Python开发工程师,3-5年,本科,北京,20k-40k,上市公司,116.301317,40.053434,2000人以上,上市公司,13号线_西二旗;昌平线_西二旗
高德软件有限公司,python高级工程师/开发专家,3-5年,本科,北京,25k-50k,发展空间大,116.466554,39.995147,2000人以上,上市公司,13号线_望京西;14号线东段_望京;14号线东段_阜通;15号线_望京;15号线_望京西
达内时代科技集团有限公司,python讲师（少儿编程） (MJ004699),不限,本科,北京,9k-11k,上升空间 专业团队,116.340714,39.966928,2000人以上,上市公司,10号线_知春里;10号线_知春路;13号线_大钟寺;13号线_知春路
北京校苑教育科技有限公司,Python兼职讲师,不限,本科,北京,15k-25k,"团队氛围好,上升空间大,福利优厚",116.347137,40.080199,少于15人,未融资,8号线北段_霍营;8号线北段_回龙观东大街;8号线北段_平西府;13号线_回龙观;13号线_霍营
达而观信息科技（上海）有限公司,高级python开发工程师,3-5年,本科,北京,20k-30k,"大牛团队,技术领先,发展迅速,准独角兽",116.344462,39.976877,150-500人,B轮,10号线_知春里;10号线_知春路;10号线_西土城;13号线_大钟寺;13号线_知春路
