公司名称,职位名称,工作年限,教育程度,城市,薪资,福利,经度,纬度,公司规模,融资,地铁线
北京凌云雀科技有限公司,Python,不限,本科,北京,13k-25k,"前沿科技,靠谱团队,工程师文化,H1B计划",116.314261,39.98377,150-500人,B轮,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄;10号线_知春里
广州回头车信息科技有限公司,python工程师,1-3年,大专,广州,10k-15k,"期权激励,五险一金,带薪年假,弹性工作",113.400876,23.119794,50-150人,A轮,4号线_车陂;4号线_车陂南;5号线_车陂南;5号线_东圃
武汉佰钧成技术有限责任公司,Java/python开发,1-3年,本科,广州,8k-15k,六险一金 年终奖 地铁口附近 高并发项目,113.3704,23.123165,2000人以上,不需要融资,5号线_员村;5号线_科韵路
广州战英网络科技有限公司,python开发工程师,3-5年,大专,广州,10k-18k,"周末双休,年底双薪,五险一金",113.373059,23.125725,50-150人,天使轮,5号线_员村;5号线_科韵路
广州微宽信息技术有限公司,Python开发工程师,3-5年,大专,广州,15k-20k,五险一金、奖金、带薪年假、年终奖,113.315529,23.073875,15-50人,天使轮,3号线_大塘
广州西洋汇信息技术有限公司,Python工程师,3-5年,本科,广州,10k-20k,不加班，技术氛围浓，发展机会大,113.31559,23.073952,50-150人,不需要融资,3号线_大塘
优维科技（深圳）有限公司,Python开发-广州,3-5年,本科,广州,10k-18k,"BAT系,年底奖金,氛围好",113.372479,23.126138,50-150人,B轮,5号线_员村;5号线_科韵路
广州经传多赢投资咨询有限公司,量化平台开发工程师-Python【珠江新城】,3-5年,本科,广州,15k-25k,"成熟团队,快速兑现,技术大牛多,氛围活跃",113.316446,23.125554,2000人以上,不需要融资,1号线_杨箕;1号线_体育西路;3号线_珠江新城;3号线_体育西路;3号线(北延段)_体育西路;5号线_动物园;5号线_杨箕;5号线_五羊邨;5号线_珠江新城;APM线_大剧院;APM线_花城大道;APM线_妇儿中心;APM线_黄埔大道;APM线_天河南;APM线_体育中心南
广府数字（深圳）股份有限公司,Python工程师,不限,大专,广州,12k-18k,"打造千万级,原始股权,公司核心骨,报酬丰厚",113.382276,23.12053,15-50人,未融资,4号线_车陂;4号线_车陂南;5号线_科韵路;5号线_车陂南
暗物质（北京）智能科技有限公司,机器学习研发工程师-Python,1-3年,硕士,广州,20k-35k,极快速发展、空间大,113.546386,22.793742,50-150人,A轮,4号线_金洲;4号线_飞沙角
广州泉涌信息科技有限公司,python高级开发,5-10年,不限,广州,18k-35k,福利待遇好 团队氛围好 数据量大,113.320539,23.135482,15-50人,不需要融资,1号线_杨箕;1号线_体育西路;1号线_体育中心;3号线_体育西路;3号线_石牌桥;3号线(北延段)_林和西;3号线(北延段)_体育西路;5号线_动物园;5号线_杨箕;APM线_妇儿中心;APM线_黄埔大道;APM线_天河南;APM线_体育中心南;APM线_林和西
青岛英联艺术传媒有限公司,Python高级开发工程师,3-5年,本科,广州,15k-26k,高效团队,113.244207,23.097062,50-150人,未融资,1号线_芳村;6号线_文化公园
广州小鹏汽车科技有限公司,Python开发高级/资深工程师/专家,3-5年,不限,广州,20k-40k,福利待遇，发展前景,113.387676,23.159737,2000人以上,B轮,
广州卓动信息科技有限公司,Python后端工程师,1-3年,本科,广州,12k-24k,"福利好,待遇优,团队强",113.373059,23.125725,150-500人,不需要融资,5号线_员村;5号线_科韵路
广州南天电脑系统有限公司,pyhton运维开发工程师,3-5年,大专,广州,8k-15k,"五险一金,年终奖金,带薪年假,周末双休",113.37262,23.12415,500-2000人,上市公司,5号线_员村;5号线_科韵路
广州新得信息科技有限公司,python开发工程师,1-3年,不限,广州,15k-30k,"发展空间大,股权激励,人性化管理,前景好",113.240697,23.182652,少于15人,天使轮,
武汉佰钧成技术有限责任公司,python开发,1-3年,本科,广州,13k-18k,python ELK,113.370459,23.123357,2000人以上,不需要融资,5号线_员村;5号线_科韵路
广府数字（深圳）股份有限公司,ＰＨＰ兼 Python 开发工程师,不限,大专,广州,13k-18k,"打造千万级,原始股权,公司核心骨,报酬丰厚",113.382276,23.12053,15-50人,未融资,4号线_车陂;4号线_车陂南;5号线_科韵路;5号线_车陂南
上海莱壳企业管理有限公司,Python开发工程师,1-3年,本科,广州,20k-40k,牛人多 交通补贴 餐补 绩效奖 海外旅游,113.37322,23.126291,150-500人,B轮,5号线_科韵路
广州市驴迹科技有限责任公司,高级python后端,5-10年,大专,广州,15k-25k,"双休,准上市,领导好",113.404072,23.164822,150-500人,C轮,
网易（杭州）有限公司,python开发工程师,不限,本科,广州,16k-25k,6险1金，带薪年假，免费猪厂食堂，16薪,113.37322,23.126291,2000人以上,上市公司,5号线_科韵路
广州大世信息科技有限公司,python开发,3-5年,大专,广州,10k-20k,五险一金；带薪年假；包餐；下午茶福利,113.327311,23.121573,15-50人,未融资,1号线_体育西路;1号线_体育中心;3号线_珠江新城;3号线_体育西路;3号线_石牌桥;3号线(北延段)_体育西路;5号线_五羊邨;5号线_珠江新城;5号线_猎德;APM线_海心沙;APM线_大剧院;APM线_花城大道;APM线_妇儿中心;APM线_黄埔大道;APM线_天河南;APM线_体育中心南
广州酷码教育咨询有限公司,Python讲师/助教,不限,大专,广州,5k-8k,"五险一金,创业公司,节日福利,绩效奖金",113.331793,23.132012,150-500人,A轮,1号线_体育西路;1号线_体育中心;3号线_体育西路;3号线_石牌桥;3号线_岗顶;3号线(北延段)_林和西;3号线(北延段)_体育西路;APM线_妇儿中心;APM线_黄埔大道;APM线_天河南;APM线_体育中心南;APM线_林和西
广州创思信息技术有限公司,Python开发工程师,1-3年,本科,广州,15k-20k,"企业五百人,一日三餐,项目高大上,平台大",113.335629,23.151049,500-2000人,未融资,1号线_广州东站;3号线(北延段)_燕塘;3号线(北延段)_广州东站;6号线_燕塘
广州点亿汽车科技服务有限公司,python开发工程师,3-5年,大专,广州,15k-20k,五险、福利待遇高、发展前景好、上升空间快,113.380238,23.00326,50-150人,天使轮,
广州美亚尚途国际旅行社有限公司,Python开发工程师,1-3年,大专,广州,6k-12k,"五险一金,带薪年假,绩效奖金,年底双薪",113.318555,23.162266,150-500人,不需要融资,1号线_广州东站;3号线(北延段)_梅花园;3号线(北延段)_燕塘;3号线(北延段)_广州东站;6号线_燕塘;6号线_天平架
广州酷旅旅行社有限公司,python开发,1-3年,本科,广州,10k-18k,互联网旅游 D轮 晋升机会大,113.37385,23.124105,500-2000人,D轮及以上,5号线_员村;5号线_科韵路
广州乐顽科技有限公司,Python开发工程师,1-3年,本科,广州,8k-13k,"年终奖,项目奖,五险一金,晋升空间",113.369721,22.936378,15-50人,不需要融资,
上海中软华腾软件系统有限公司,Python开发工程师,3-5年,本科,广州,10K-20K,"外企环境,周末双休法,氛围nice",113.332464,23.134217,2000人以上,上市公司,1号线_体育西路;1号线_体育中心;3号线_体育西路;3号线_石牌桥;3号线_岗顶;3号线_华师;3号线(北延段)_林和西;3号线(北延段)_体育西路;APM线_黄埔大道;APM线_天河南;APM线_体育中心南;APM线_林和西
广州达美智能科技有限公司,python开发工程师,不限,本科,广州,6k-12k,五险一金周末双休年底双薪带薪年假员工旅游,113.321881,23.12608,50-150人,A轮,1号线_杨箕;1号线_体育西路;1号线_体育中心;3号线_珠江新城;3号线_体育西路;3号线_石牌桥;3号线(北延段)_体育西路;5号线_杨箕;5号线_五羊邨;5号线_珠江新城;5号线_猎德;APM线_大剧院;APM线_花城大道;APM线_妇儿中心;APM线_黄埔大道;APM线_天河南;APM线_体育中心南
广州好邻居网络科技有限公司,高级python开发工程师,3-5年,本科,广州,20k-30k,双休，五险一金，期权,113.321771,23.125873,50-150人,A轮,1号线_杨箕;1号线_体育西路;1号线_体育中心;3号线_珠江新城;3号线_体育西路;3号线_石牌桥;3号线(北延段)_体育西路;5号线_杨箕;5号线_五羊邨;5号线_珠江新城;5号线_猎德;APM线_大剧院;APM线_花城大道;APM线_妇儿中心;APM线_黄埔大道;APM线_天河南;APM线_体育中心南
武汉佰钧成技术有限责任公司,python\Java（数据采集）,3-5年,本科,广州,15k-20k,"办公环境好,双休,六险一金，外企环境",113.373059,23.125725,2000人以上,不需要融资,5号线_员村;5号线_科韵路
广州大世信息科技有限公司,高级python开发,5-10年,本科,广州,15k-25k,五险一金；带薪年假；包餐；下午茶福利,113.327311,23.121573,15-50人,未融资,1号线_体育西路;1号线_体育中心;3号线_珠江新城;3号线_体育西路;3号线_石牌桥;3号线(北延段)_体育西路;5号线_五羊邨;5号线_珠江新城;5号线_猎德;APM线_海心沙;APM线_大剧院;APM线_花城大道;APM线_妇儿中心;APM线_黄埔大道;APM线_天河南;APM线_体育中心南
广州市电声营销策划有限公司,Python开发工程师,3-5年,本科,广州,12k-18k,"工作环境优,弹性工时,扁平化管理",113.402231,23.093264,500-2000人,未融资,
广州嘉为科技有限公司,python开发工程师,1-3年,本科,广州,8k-10k,"五险一金,年底双薪,绩效奖金,免费培训",113.344999,23.124584,150-500人,未融资,3号线_岗顶;5号线_猎德;5号线_潭村
广州天锐医健信息科技有限公司,python工程师,1-3年,大专,广州,6k-10k,五险一金，年奖金,113.431336,23.163417,50-150人,未融资,
广州市殷赋信息科技有限公司,Python开发工程师（兼职）,1-3年,大专,广州,5k-8k,待遇优厚,113.334469,22.991675,少于15人,未融资,3号线_汉溪长隆;7号线_汉溪长隆
广州英荔教育科技有限公司,Python软件工程师,1-3年,本科,广州,9k-15k,双休 带薪假 年假 晋升大 妹子多 气氛融洽,113.3246649,23.14153143,15-50人,不需要融资,1号线_体育西路;1号线_体育中心;1号线_广州东站;3号线_体育西路;3号线_石牌桥;3号线(北延段)_广州东站;3号线(北延段)_林和西;3号线(北延段)_体育西路;APM线_天河南;APM线_体育中心南;APM线_林和西
广州哆啦科技有限公司,Python爬虫工程师,1-3年,本科,广州,15k-30k,期权激励 绩效奖金 扁平管理 五险一金,113.342784,23.098431,2000人以上,C轮,8号线_赤岗;8号线_磨碟沙;8号线_新港东
广州优飞信息科技有限公司,python开发,1-3年,本科,广州,10k-20k,双休 五险一金 朝九晚六 午休2小时,113.384275,23.118526,50-150人,未融资,4号线_车陂;4号线_车陂南;5号线_科韵路;5号线_车陂南
广州易度网络信息有限公司,Python开发工程师,不限,不限,广州,6k-10k,创新团队，规范管理，全面提升,113.370896,23.124987,15-50人,未融资,5号线_员村;5号线_科韵路
广州国交润万交通信息有限公司,python开发,1年以下,本科,广州,6k-12k,双休 年度旅游 年度体检 五险一金,113.37778,23.129456,50-150人,未融资,5号线_科韵路
南京厚建云计算有限公司广州分公司,Python实习,应届毕业生,本科,广州,2k-3k,综合性的技能提升，扁平化管理,113.319813,23.033012,50-150人,不需要融资,3号线_厦滘
网易（杭州）有限公司,python服务端开发工程师,不限,本科,广州,15k-30k,"平台大,福利好,待遇优,16薪",113.372708,23.126478,2000人以上,上市公司,5号线_科韵路
广东珠江智联信息科技股份有限公司,python实习生,应届毕业生,本科,广州,2k-3k,实习机会 零食,113.371047,23.099756,500-2000人,不需要融资,4号线_万胜围;8号线_新港东;8号线_琶洲;8号线_万胜围
北京搜狐新媒体信息技术有限公司,Python开发实习生,应届毕业生,不限,广州,2k-3k,"发展空间大,工作氛围好,福利待遇好",113.321796,23.117487,2000人以上,上市公司,3号线_广州塔;3号线_珠江新城;5号线_五羊邨;5号线_珠江新城;5号线_猎德;APM线_海心沙;APM线_大剧院;APM线_花城大道;APM线_妇儿中心;APM线_黄埔大道
广州哆啦科技有限公司,资深Python爬虫工程师,3-5年,本科,广州,25k-50k,期权激励 绩效奖金 扁平管理 五险一金,113.342784,23.098431,2000人以上,C轮,8号线_赤岗;8号线_磨碟沙;8号线_新港东
广州洋葱头信息科技有限公司,Python web开发工程师,3-5年,本科,广州,8k-15k,免费学技术类课程和来自BAT的讲师交流,113.40089,23.12071,15-50人,不需要融资,4号线_车陂;4号线_车陂南;5号线_车陂南;5号线_东圃
广州佰锐网络科技有限公司,Python机器学习工程师,3-5年,本科,广州,12k-20k,人工智能、机器学习,113.372605,23.123317,50-150人,未融资,5号线_员村;5号线_科韵路
广州德利信息科技有限公司,Python web高级工程师,3-5年,本科,广州,12k-24k,Python,0,0,少于15人,A轮,
广州软博信息科技有限公司,Java/Python算法工程师,不限,本科,广州,6k-8k,数据分析方向、五险一金,113.324324,23.006161,少于15人,未融资,3号线_大石
广州潮汐信息科技有限公司,python后端,3-5年,本科,广州,10k-18k,带队能力、业绩分红权,113.404545,23.120646,少于15人,未融资,4号线_车陂;5号线_东圃
广州信言科技有限公司,GO语言（接受其他后台语言）,1-3年,大专,广州,12k-20k,社交产品 团队氛围 福利齐全 双休,113.374883,23.141598,15-50人,不需要融资,
广州君海网络科技有限公司,cocos2d-x开发工程师,3-5年,本科,广州,10k-20k,"包午晚餐,优秀团队,上市公司,福利完善",113.35755,23.098189,150-500人,上市公司,8号线_新港东;8号线_琶洲
广州财略金融信息科技有限公司,后端开发工程师,1-3年,大专,广州,8k-14k,双休，团队氛围好，扁平化管理，发展空间大,113.32285,23.09344,50-150人,A轮,3号线_客村;3号线_广州塔;8号线_客村;8号线_赤岗
广州力挚网络科技有限公司,资深/高级研发工程师(运营中心向),5-10年,本科,广州,15k-25k,"周末双休,海外旅游,带薪年假,年终奖金",113.32825,23.148125,500-2000人,C轮,1号线_体育中心;1号线_广州东站;3号线(北延段)_燕塘;3号线(北延段)_广州东站;3号线(北延段)_林和西;6号线_燕塘;6号线_天平架;APM线_林和西
广州汇量信息科技有限公司,高级前端开发工程师,不限,大专,广州,13k-23k,环境舒适，弹性工作时间，包三餐下午茶,113.331829,23.115805,500-2000人,上市公司,3号线_广州塔;3号线_珠江新城;5号线_珠江新城;5号线_猎德;5号线_潭村;APM线_海心沙;APM线_大剧院;APM线_花城大道;APM线_妇儿中心;APM线_黄埔大道
广州华多网络科技有限公司,高级开发工程师（大数据平台） (MJ001573),3-5年,本科,广州,25k-50k,"福利多,平台大",113.34934,23.007035,2000人以上,上市公司,7号线_南村万博
西安贝业思数据智能技术服务有限公司,数据开发工程师,3-5年,不限,广州,11k-18k,"股权激励,五险一金,算法牛人,扁平管理",113.438706,23.165415,15-50人,不需要融资,
广州市果肉教育科技有限公司,数据开发工程师,1-3年,本科,广州,12k-24k,前瞻性产品 福利待遇好 成长速度快,113.262984,23.124995,150-500人,不需要融资,1号线_西门口;1号线_公园前;1号线_农讲所;2号线_海珠广场;2号线_公园前;2号线_纪念堂;6号线_北京路;6号线_海珠广场;6号线_一德路
广州市驴迹科技有限责任公司,高级后端工程师,5-10年,大专,广州,15k-25k,"双休,准上市,领导好",113.404072,23.164822,150-500人,C轮,
深圳市客路网络科技有限公司,Python工程师,1-3年,本科,深圳,10k-20k,"国际化平台,环境舒适,好玩有趣",114.030219,22.533263,500-2000人,D轮及以上,1号线/罗宝线_香蜜湖;1号线/罗宝线_车公庙;7号线_农林;7号线_车公庙;7号线_上沙;9号线_下沙;9号线_车公庙;11号线/机场线_车公庙
深圳市彼图恩科技有限公司,python,5-10年,博士,深圳,1k-2k,弹性工作,113.935394,22.524003,50-150人,上市公司,1号线/罗宝线_桃园;2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_南山;11号线/机场线_后海
深圳市和讯华谷信息技术有限公司,Python后台开发工程师,3-5年,本科,深圳,15k-25k,上市公司、技术氛围好、弹性工作制,113.908605,22.549206,500-2000人,上市公司,1号线/罗宝线_新安
岩心科技（深圳）有限公司,Python后台开发/数据平台/Senior,3-5年,本科,深圳,15k-30k,"牛逼的伙伴,专注的开发,舒服的氛围,薪酬待遇",113.943847,22.529055,500-2000人,D轮及以上,1号线/罗宝线_深大;2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_后海
深圳点猫科技有限公司,Python后端开发工程师,1-3年,本科,深圳,12k-18k,发展空间大，五险一金全额缴纳，餐补,113.84623,22.597811,500-2000人,B轮,1号线/罗宝线_固戍
深信服科技股份有限公司,高级python开发工程师,1-3年,本科,深圳,11k-20k,前景好,114.004324,22.593051,2000人以上,不需要融资,5号线/环中线_塘朗;5号线/环中线_长岭陂
达而观信息科技（上海）有限公司,高级python开发工程师,3-5年,本科,深圳,18k-22k,"人工智能,准独角兽,技术氛围浓,发展空间",113.952802,22.539255,150-500人,B轮,1号线/罗宝线_白石洲;1号线/罗宝线_高新园;1号线/罗宝线_深大
深圳市贝多分金融科技有限公司,python开发工程师,3-5年,大专,深圳,15k-25k,互联网金融,114.021205,22.531381,50-150人,A轮,1号线/罗宝线_车公庙;1号线/罗宝线_竹子林;7号线_农林;7号线_车公庙;9号线_下沙;9号线_车公庙;11号线/机场线_车公庙
心灵失重（北京）科技有限公司,Python,3-5年,本科,深圳,15k-30k,老司机来开车,113.9441638,22.55322309,150-500人,A轮,
弘量科技（深圳）有限公司,Python工程师,3-5年,本科,深圳,15k-30k,"互联网金融,智能投顾,弹性工作",113.952906,22.541617,50-150人,B轮,1号线/罗宝线_白石洲;1号线/罗宝线_高新园;1号线/罗宝线_深大
深圳市杉岩数据技术有限公司,Python开发工程师,1-3年,本科,深圳,10k-20k,"扁平化管理,发展空间大",113.992977,22.589488,50-150人,B轮,5号线/环中线_塘朗
深圳市零壹移动互联系统有限公司,python开发工程师,3-5年,本科,深圳,15k-25k,人工智能 深度学习 车辆,114.066286,22.603451,150-500人,B轮,
深圳市一面网络技术有限公司,Python 工程师（产品研发）,1-3年,本科,深圳,10k-20k,大数据人工智能；名校系大牛；技术氛围浓,113.939945,22.54064,50-150人,A轮,1号线/罗宝线_高新园;1号线/罗宝线_深大
深圳佑驾创新科技有限公司,Python开发工程师,1-3年,本科,深圳,15k-30k,"自动驾驶,海归团队,弹性办公",113.959018,22.541668,150-500人,A轮,1号线/罗宝线_白石洲;1号线/罗宝线_高新园
北京市商汤科技开发有限公司,python开发工程师,3-5年,本科,深圳,20k-40k,餐补，AI独角兽,113.920038,22.494927,2000人以上,C轮,2号线/蛇口线_海上世界;2号线/蛇口线_水湾;2号线/蛇口线_东角头
深圳市客路网络科技有限公司,高级Python工程师,3-5年,本科,深圳,15k-30k,"国际化平台,环境舒适,好玩有趣",114.030219,22.533263,500-2000人,D轮及以上,1号线/罗宝线_香蜜湖;1号线/罗宝线_车公庙;7号线_农林;7号线_车公庙;7号线_上沙;9号线_下沙;9号线_车公庙;11号线/机场线_车公庙
深圳市易博天下科技有限公司,Python开发工程师,1-3年,大专,深圳,13k-25k,平台好 高速增长 股票期权 创业团队,113.940105,22.523096,150-500人,上市公司,2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_后海
达而观信息科技（上海）有限公司,python开发工程师,1-3年,本科,深圳,10k-18k,AI准独角兽 技术氛围佳 优秀伙伴,113.952802,22.539255,150-500人,B轮,1号线/罗宝线_白石洲;1号线/罗宝线_高新园;1号线/罗宝线_深大
深圳美西西餐饮管理有限公司,python开发工程师,3-5年,本科,深圳,15k-25k,待遇好，平台大，氛围好,113.941993,22.519366,2000人以上,B轮,2号线/蛇口线_登良;2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_后海
深圳市乐易网络股份有限公司,python开发工程师,1-3年,本科,深圳,8k-16k,丰厚年终，两次旅游，两次调薪,113.94604,22.533413,150-500人,不需要融资,1号线/罗宝线_高新园;1号线/罗宝线_深大;2号线/蛇口线_科苑
深圳市浩海云科技有限公司,python开发工程师,1-3年,大专,深圳,12k-20k,福利待遇、发展空间、项目奖励、团队期权,114.004741,22.594189,15-50人,A轮,5号线/环中线_塘朗;5号线/环中线_长岭陂
深圳市博悦科创科技有限公司,python开发工程师,1-3年,本科,深圳,10k-14k,五险一金 入职体检 年终奖,114.070226,22.556923,500-2000人,不需要融资,3号线/龙岗线_少年宫;3号线/龙岗线_莲花村;4号线/龙华线_少年宫;4号线/龙华线_莲花北;9号线_孖岭
深圳市长亮科技股份有限公司,python开发工程师（运维开发）,不限,本科,深圳,10k-20k,"技术大牛,氛围好,技术前沿",113.941145,22.545135,2000人以上,上市公司,1号线/罗宝线_高新园;1号线/罗宝线_深大
嘉联支付有限公司,Python开发工程师,1-3年,本科,深圳,15k-20k,福利好；氛围好；领导好,113.952142,22.530852,500-2000人,未融资,1号线/罗宝线_高新园;1号线/罗宝线_深大;2号线/蛇口线_科苑
风变科技（深圳）有限公司,Python工程师（运维方向）,1-3年,本科,深圳,10k-20k,"百万级用户,数据驱动,科技前沿,高效工作",113.946882,22.546157,150-500人,A轮,1号线/罗宝线_高新园;1号线/罗宝线_深大
深圳松茂科技有限公司,Python开发工程师,1-3年,本科,深圳,8k-13k,5天7小时，年终奖，境外旅游，技术分享,113.91389,22.540677,50-150人,不需要融资,1号线/罗宝线_桃园;1号线/罗宝线_大新;1号线/罗宝线_鲤鱼门
广东盛迪嘉电子商务股份有限公司,python开发工程师,3-5年,本科,深圳,15k-20k,高薪酬、高福利、职业生涯规划,113.94008,22.541297,500-2000人,不需要融资,1号线/罗宝线_高新园;1号线/罗宝线_深大
深圳云天励飞技术有限公司,Python开发工程师(J10047),3-5年,不限,深圳,15k-25k,人工智能,114.096167,22.542356,500-2000人,B轮,1号线/罗宝线_大剧院;1号线/罗宝线_大剧院;1号线/罗宝线_科学馆;1号线/罗宝线_华强路;2号线/蛇口线_华强北;2号线/蛇口线_燕南;2号线/蛇口线_大剧院;3号线/龙岗线_华新;3号线/龙岗线_通新岭;3号线/龙岗线_红岭;7号线_华强南;7号线_华强北;7号线_华新;9号线_红岭;9号线_红岭南;9号线_鹿丹村
上海奥飞游戏有限公司,Python开发工程师,1-3年,大专,深圳,6k-10k,福利好、工作氛围活跃，老板很nice,113.93638,22.543562,150-500人,A轮,1号线/罗宝线_深大
凡顶科技（深圳）有限公司,python开发,不限,不限,深圳,18k-35k,同比同行薪酬丰厚，晋升渠道完善,113.84724,22.595013,50-150人,未融资,1号线/罗宝线_固戍
广州奇志信息科技有限公司,python开发工程师,1-3年,本科,深圳,10k-20k,JS; 跨平台；WebGL 开发,113.949095,22.542919,15-50人,A轮,1号线/罗宝线_高新园;1号线/罗宝线_深大
北京国双科技有限公司,资深python研发工程师,5-10年,本科,深圳,20k-40k,上市公司 发挥空间 折腾技术 牛人多,114.06857,22.54357,500-2000人,上市公司,1号线/罗宝线_岗厦;1号线/罗宝线_会展中心;2号线/蛇口线_市民中心;2号线/蛇口线_岗厦北;3号线/龙岗线_少年宫;3号线/龙岗线_莲花村;4号线/龙华线_会展中心;4号线/龙华线_市民中心;4号线/龙华线_少年宫
深圳市易博天下科技有限公司,资深Python开发工程师,5-10年,大专,深圳,20k-28k,平台好，上市公司，周末双休，高速增长,113.936516,22.543537,150-500人,上市公司,1号线/罗宝线_深大
深圳前海联易融金融服务有限公司,Python开发工程师,不限,本科,深圳,13k-25k,六险一金;弹性办公;福利满满;风口行业,113.94483,22.537843,150-500人,C轮,1号线/罗宝线_高新园;1号线/罗宝线_深大;2号线/蛇口线_科苑
深圳前海农产品交易所股份有限公司,Python工程师,3-5年,大专,深圳,15k-30k,激情团队,113.953879,22.528197,50-150人,不需要融资,1号线/罗宝线_高新园;2号线/蛇口线_科苑
腾讯科技（深圳）有限公司,python开发工程师,3-5年,本科,深圳,20k-40k,架构设计，项目锻炼，职业成长,113.952731,22.535766,2000人以上,上市公司,1号线/罗宝线_高新园;1号线/罗宝线_深大;2号线/蛇口线_科苑
平安科技（深圳）有限公司,112145-资深容器python开发,5-10年,本科,深圳,15k-30k,"五险一金,绩效奖金",113.993578,22.99368,2000人以上,不需要融资,
富途网络科技（深圳）有限公司,高级DevOps开发工程师/python,3-5年,不限,深圳,15k-30k,"腾讯系团队,扁平管理,六险一金",113.943735,22.547834,500-2000人,上市公司,1号线/罗宝线_高新园;1号线/罗宝线_深大
深圳市彬讯科技有限公司,python开发工程师,1-3年,本科,深圳,13k-20k,周末双休 带薪年假,113.933274,22.54156,500-2000人,C轮,1号线/罗宝线_深大;1号线/罗宝线_桃园
万科物业发展股份有限公司,高级Python开发工程师,3-5年,本科,深圳,15k-30k,结构扁平 五险一金 年度旅游 弹性时间,114.062189,22.567856,2000人以上,不需要融资,4号线/龙华线_莲花北;4号线/龙华线_上梅林;9号线_梅村;9号线_上梅林;9号线_孖岭
深圳市大寰机器人科技有限公司,python开发工程师,3-5年,本科,深圳,10k-16k,五险一金，年底双薪，带薪年假，公司气氛好,113.944215,22.527319,少于15人,天使轮,1号线/罗宝线_深大;2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_后海
人人贷商务顾问（北京）有限公司,Python量化开发工程师,3-5年,本科,深圳,15k-26k,"薪资福利好,发展空间大,团队优秀",113.953082,22.540941,2000人以上,A轮,1号线/罗宝线_白石洲;1号线/罗宝线_高新园;1号线/罗宝线_深大
顺丰科技有限公司,KQY-Python/Golang开发工程师,3-5年,本科,深圳,15k-30k,弹性工作时间 发展空间大 午餐补贴,113.937987,22.523392,2000人以上,不需要融资,2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_南山;11号线/机场线_后海
深圳市明源云客电子商务有限公司,Python高级开发工程师,3-5年,本科,深圳,15k-30k,"精英团队,技术驱动,极客氛围,行业独角兽",113.95257,22.5379,2000人以上,上市公司,1号线/罗宝线_高新园;1号线/罗宝线_深大;2号线/蛇口线_科苑
智言科技(深圳)有限公司,Python开发工程师,3-5年,本科,深圳,10k-20k,"海归团队,成长空简大,薪酬福利好,扁平管理",113.946947,22.53064,50-150人,A轮,1号线/罗宝线_高新园;1号线/罗宝线_深大;2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_后海
腾讯科技（深圳）有限公司,监控系统开发工程师-Python&amp;Go,3-5年,本科,深圳,16k-30k,发展前景,113.93362,22.540719,2000人以上,上市公司,1号线/罗宝线_深大;1号线/罗宝线_桃园
平安科技（深圳）有限公司,11217M-资深python开发（平安云）,5-10年,本科,深圳,18k-30k,"五险一金,绩效奖金",113.993578,22.99368,2000人以上,不需要融资,
北京国双科技有限公司,高级Python研发工程师,1-3年,本科,深圳,13k-25k,上市公司、团队管理、发挥空间、福利优厚,114.068588,22.543462,500-2000人,上市公司,1号线/罗宝线_岗厦;1号线/罗宝线_会展中心;2号线/蛇口线_市民中心;2号线/蛇口线_岗厦北;3号线/龙岗线_少年宫;3号线/龙岗线_莲花村;4号线/龙华线_会展中心;4号线/龙华线_市民中心;4号线/龙华线_少年宫
深圳市微课科技有限公司,初级Python开发工程师,1-3年,大专,深圳,10k-15k,年轻团队，专人带领,113.93977,22.523159,50-150人,A轮,2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_后海
深圳小步网络科技有限公司,Python后台开发工程师,3-5年,本科,深圳,15k-30k,"待遇优厚,成长空间大,弹性上班,下午茶",113.870862,22.562663,150-500人,B轮,1号线/罗宝线_宝体;1号线/罗宝线_坪洲;11号线/机场线_宝安
深圳华秋电子有限公司,Python高级开发/爬虫工程师,3-5年,本科,深圳,15k-18k,"公司背景好,福利好,实力雄厚",114.064425,22.568873,150-500人,B轮,4号线/龙华线_莲花北;4号线/龙华线_上梅林;9号线_梅村;9号线_上梅林;9号线_孖岭
深圳市兴海物联科技有限公司,python后端工程师,1-3年,本科,深圳,12k-15k,平台大，资源多，发展空间大，扁平化管理,113.952495,22.533498,150-500人,不需要融资,1号线/罗宝线_高新园;1号线/罗宝线_深大;2号线/蛇口线_科苑
深圳市立新出行信息技术有限公司,Python后台开发工程师,3-5年,本科,深圳,25k-35k,"周末双休,五险一金,自助零食,领导好",113.885865,22.547034,50-150人,不需要融资,1号线/罗宝线_新安;1号线/罗宝线_宝安中心;5号线/环中线_临海;5号线/环中线_宝华;5号线/环中线_宝安中心;11号线/机场线_宝安
